Date,Price,Open,High,Low,Vol.,Change %
26-Dec-13,1355.85,1331.95,1365.45,1331.95,-,0.017900
24-Dec-13,1331.95,1325.30,1337.20,1324.00,-,0.004800
23-Dec-13,1325.55,1333.90,1339.35,1325.05,-,-0.006300
22-Dec-13,1333.95,1331.25,1334.75,1331.25,-,0.001700
20-Dec-13,1331.75,1316.55,1335.10,1314.95,-,0.011500
19-Dec-13,1316.65,1331.25,1339.20,1311.75,-,-0.011800
18-Dec-13,1332.35,1351.55,1355.50,1330.85,-,-0.014200
17-Dec-13,1351.60,1361.50,1364.85,1343.50,-,-0.007200
16-Dec-13,1361.40,1361.65,1366.85,1349.95,-,-0.000100
15-Dec-13,1361.55,1362.75,1363.15,1361.15,-,-0.000700
13-Dec-13,1362.50,1363.85,1370.15,1356.55,-,-0.001200
12-Dec-13,1364.15,1383.65,1387.50,1359.60,-,-0.014100
11-Dec-13,1383.60,1387.90,1391.40,1381.15,-,-0.003100
10-Dec-13,1387.85,1369.70,1399.10,1369.50,-,0.013400
9-Dec-13,1369.50,1355.70,1378.85,1354.70,-,0.010100
8-Dec-13,1355.75,1356.60,1362.20,1355.65,-,-0.000300
6-Dec-13,1356.15,1360.65,1367.10,1345.25,-,-0.003600
5-Dec-13,1361.10,1364.45,1368.55,1353.05,-,-0.002500
4-Dec-13,1364.50,1358.55,1378.10,1345.95,-,0.004200
3-Dec-13,1358.80,1346.95,1358.80,1341.40,-,0.008800
2-Dec-13,1347.00,1366.05,1369.85,1339.25,-,-0.013600
1-Dec-13,1365.60,1365.75,1365.95,1363.25,-,0.002100
29-Nov-13,1362.80,1358.45,1375.15,1355.20,-,0.003200
28-Nov-13,1358.40,1354.75,1363.65,1351.70,-,0.002700
27-Nov-13,1354.70,1377.05,1385.20,1351.10,-,-0.016200
26-Nov-13,1376.95,1391.00,1391.60,1368.60,-,-0.010100
25-Nov-13,1390.95,1382.45,1390.95,1374.70,-,0.006500
24-Nov-13,1381.95,1381.90,1384.40,1380.80,-,-0.001900
22-Nov-13,1384.60,1391.05,1398.25,1381.20,-,-0.004600
21-Nov-13,1390.95,1394.45,1401.65,1389.25,-,-0.002700
20-Nov-13,1394.70,1417.50,1417.60,1392.00,-,-0.016500
19-Nov-13,1418.10,1412.90,1425.35,1405.10,-,0.003800
18-Nov-13,1412.80,1441.30,1441.65,1410.35,-,-0.019600
17-Nov-13,1441.05,1440.65,1441.20,1438.75,-,0.000000
15-Nov-13,1441.10,1448.60,1457.40,1432.55,-,-0.005200
14-Nov-13,1448.70,1438.95,1457.65,1438.15,-,0.006300
13-Nov-13,1439.60,1432.00,1441.65,1428.25,-,0.005200
12-Nov-13,1432.15,1434.10,1444.35,1430.75,-,-0.001200
11-Nov-13,1433.90,1441.85,1446.10,1425.60,-,-0.005800
10-Nov-13,1442.20,1446.05,1446.80,1441.95,-,-0.002200
8-Nov-13,1445.40,1457.05,1461.20,1438.65,-,-0.007800
7-Nov-13,1456.80,1465.25,1473.35,1451.30,-,-0.005600
6-Nov-13,1465.00,1452.55,1469.75,1449.85,-,0.008600
5-Nov-13,1452.55,1455.25,1459.55,1448.15,-,-0.001900
4-Nov-13,1455.30,1454.45,1458.30,1447.70,-,0.000600
3-Nov-13,1454.50,1451.25,1456.55,1451.25,-,-0.000500
1-Nov-13,1455.20,1452.10,1458.85,1446.15,-,0.002200
31-Oct-13,1452.00,1464.55,1466.95,1447.10,-,-0.008900
30-Oct-13,1465.00,1459.50,1481.35,1453.20,-,0.003800
29-Oct-13,1459.45,1468.40,1473.45,1458.50,-,-0.006300
28-Oct-13,1468.70,1452.80,1474.15,1450.15,-,0.011000
27-Oct-13,1452.70,1456.60,1456.60,1452.55,-,-0.001000
25-Oct-13,1454.10,1449.60,1457.75,1440.15,-,0.003000
24-Oct-13,1449.70,1437.15,1457.05,1437.15,-,0.008900
23-Oct-13,1436.85,1450.65,1450.80,1432.20,-,-0.009500
22-Oct-13,1450.70,1435.95,1452.70,1426.35,-,0.010300
21-Oct-13,1435.90,1438.80,1446.15,1431.90,-,-0.002000
20-Oct-13,1438.75,1437.50,1441.55,1434.80,-,-0.000200
18-Oct-13,1439.00,1431.25,1444.90,1429.15,-,0.005200
17-Oct-13,1431.55,1401.70,1438.85,1393.45,-,0.021000
16-Oct-13,1402.05,1380.15,1403.70,1378.85,-,0.015900
15-Oct-13,1380.10,1379.70,1388.40,1361.50,-,0.000400
14-Oct-13,1379.50,1371.20,1391.60,1366.70,-,0.006000
13-Oct-13,1371.25,1373.35,1375.70,1369.15,-,-0.001300
11-Oct-13,1373.10,1386.15,1391.55,1363.05,-,-0.009300
10-Oct-13,1386.00,1387.65,1399.40,1380.70,-,-0.001300
9-Oct-13,1387.80,1402.45,1405.30,1377.85,-,-0.010800
8-Oct-13,1402.90,1399.40,1411.25,1397.05,-,0.002300
7-Oct-13,1399.70,1392.20,1404.60,1384.80,-,0.005300
6-Oct-13,1392.30,1389.85,1395.25,1389.85,-,0.001600
4-Oct-13,1390.05,1378.10,1390.90,1374.90,-,0.009000
3-Oct-13,1377.65,1393.10,1394.80,1366.40,-,-0.010900
2-Oct-13,1392.90,1386.60,1400.35,1378.90,-,0.004800
1-Oct-13,1386.25,1405.10,1414.15,1375.20,-,-0.013400
30-Sep-13,1405.05,1420.60,1427.75,1402.30,-,-0.011000
